Article Name/Link,Treatment,num_words,num_headers,num_keywords,TitleFlag,URLFlag,Indexed
LGBT Clubs in SG,1,381,3,6,1,0,0
Bar and Pub,1,499,0,6,1,0,0
Ultimate guide to partying,0,551,13,17,1,1,0
Nightclubs in SG,1,483,8,13,1,0,0
Dressing at parties,0,546,7,5,1,1,0
Throwing a party,0,559,6,15,1,0,0
Play Basketball,0,521,4,11,1,0,0
Shooting a basketball,1,737,3,7,1,0,1
Where to buy Kpop Merch,1,733,10,3,1,1,0
Album Review,1,765,2,2,1,1,0
How to prepare for Kpop Concert,0,808,12,6,1,0,0
Kpop Companies,0,883,18,21,1,1,1
Graphics Cards,0,767,11,32,0,1,0
Board Games,1,671,10,23,1,0,1
Taylor Swift Ticket Scam,0,502,4,10,0,0,1
Pregnant Woman Scam,1,735,1,7,0,0,1
